Geneid	length	lib13	lib14	lib15	lib16	lib17	lib18	lib19	lib20
DDB_G0293966	156	0	0.685604	0	0	0	0	0.913268	0
DDB_G0293968	132	0	0	0	0	0	0	0	0
DDB_G0293970	375	1.75093	1.02218	4.96645	8.89805	12.4509	7.76316	11.4307	11.2237
DDB_G0293974	1710	0.169832	0.140668	0.283297	0.199405	0.0357172	0.0934531	0.0223083	0.0869034
DDB_G0293976	1347	0.540866	0.372691	0.93684	0.942953	0.333219	0.497257	0.175709	0.288354
DDB_G0293978	3468	0.49445	0.292833	24.7199	28.3052	19.1841	23.188	11.0554	11.0637
DDB_G0293980	993	0.480807	0.440515	9.12421	6.53546	21.4693	23.9062	13.9974	12.8601
DDB_G0293982	13014	2.16044	1.44264	9.94778	11.0436	7.49518	8.18735	7.05274	5.94409
DDB_G0293984	4212	1.13598	0.675909	2.13938	1.58428	1.80718	2.18029	0.758375	0.906345
DDB_G0293986	1083	1.36092	0.994597	4.1923	3.126	1.92583	2.5359	0.307716	0.341059
DDB_G0293988	2928	0.44586	0.310695	0.997402	0.797923	1.45904	1.34373	0.846413	0.959747
DDB_G0293990	966	0.824878	0.575845	1.70117	1.66295	1.68244	1.87883	1.16165	1.16951
DDB_G0293848	555	4.43588	2.90098	4.3516	3.17938	3.46845	3.60618	2.6806	1.93596
DDB_G0293850	894	227.802	196.056	9.76276	10.0939	8.98159	8.03529	25.321	14.7666
DDB_G0293852	222	0.31452	0	0	0.430125	0.865062	0	2.11083	0.898204
DDB_G0293854	255	6.29875	6.55057	12.7782	5.14642	12.276	10.6623	21827	23327.2
DDB_G0293856	1830	0.925875	0.757352	1.43648	1.09852	0.223023	0.184576	0.388166	0.314589
DDB_G0293858	2403	0.471595	0.316962	3.36052	4.42908	3.70236	3.86773	2.84878	2.98712
DDB_G0293860	813	0.803627	0.493983	4.28212	5.29514	1.61693	1.93406	0.937119	0.670124
DDB_G0293862	750	4.09505	3.53771	34.582	39.7624	39.9168	28.3306	196.067	207.682
DDB_G0293864	1527	0.193379	0.0617316	1.27191	1.45165	1.26666	2.53702	19.932	21.1973
DDB_G0293866	1692	1.22213	0.942509	3.38742	3.91143	3.52123	3.45356	0.602849	0.560986
DDB_G0293868	1638	0.471819	0.352582	0.576798	0.655183	0.60125	0.528325	0.0695442	0.148327
DDB_G0293870	279	0	0.223883	0	0	0	0	7.91747	8.20317
DDB_G0293872	1083	43.4978	47.872	14.2294	11.2015	9.33609	7.26004	13.251	13.036
DDB_G0293874	906	105.516	115.217	68.8352	62.551	59.6862	60.9566	345.806	285.475
DDB_G0293876	648	4.8271	4.1696	20.7203	22.2307	18.857	15.9594	14.0467	13.7913
DDB_G0293878	4326	3.65199	2.38379	13.6889	18.1889	9.75795	10.717	9.19829	12.96
DDB_G0293880	987	11.4746	8.18234	45.9648	42.5391	18.8511	20.2876	29.8199	27.04
DDB_G0293882	1518	0.538343	0.261083	0.589549	0.573278	0.219475	0.188263	0.266281	0.212221
DDB_G0293884	1542	1.56322	1.17234	4.8543	5.99441	3.42101	3.85484	1.07085	0.955813
DDB_G0293886	996	0	0.0208949	1.0893	1.11317	3.67289	3.76673	5.68396	4.94599
DDB_G0293888	1110	0.350791	0.272862	0.771427	0.462798	0.506777	0.772607	6.31712	9.67452
DDB_G0293890	222	0.31045	0	3.66564	4.6653	4.00129	2.51324	13062.2	16307.2
DDB_G0293892	675	10.2839	4.91189	0.0642365	1.25917	2.1673	1.0471	0	2.02629
DDB_G0293894	441	0	0	0.319316	0	0.0563273	0	0	0.169776
DDB_G0293834	1200	4.61181	6.22222	28.3137	29.0987	77.296	67.9674	46.3168	44.5057
DDB_G0293836	1572	0.241926	0.214787	0.292741	0.178775	0.144697	0.141889	0.316304	0.119764
DDB_G0293838	1119	0.281131	0.144055	3.3191	3.22732	0.621849	0.705808	0.295096	0.436059
